0	0	23.7
1	1	23.8
10	1	24.1
15	1	24.9
19	0	26.8
25	0	30.0
30	0	32.6
35	0	35.3
40	0	36.7
45	0	37.8
50	0	38.5
60	0	39.2
70	0	39.5
75	1	39.6
80	1	39.8
86	0	40.6
100	0	46.0
110	0	48.2
120	0	49.2
130	0	49.7
150	0	50.0
185	1	49.7
195	0	50.0
200	0	52.0
210	0	55.5
225	0	58.0
230	0	58.3
240	0	58.4
245	0	58.5
300	0	57.9
356	0	56.0
414	0	54.0
443	0	53.0
471	0	52.0
505	0	51.0
538	0	50.0
600	0	48.3
720	0	45.0
800	0	43.3
900	0	41.6
920	0	41.0
945	1	40.6
955	0	41.2
965	0	44.2
975	0	46.8	
985	0	48.2
1015	0	48.5
1099	0	47.0
1127	0	46.5
1280	0	43.0
1388	0	42.0
1440	0	41.0
